,ID,Sexe,Motorisé,PropriétaireImmobilier,NombreEnfants,RevenuAnnuel,SecteurActivité,NiveauEducation,EtatCivil,TypeLogement,CategorieEmploi,MembreFamille,Age,Experience,Approuvée,target
106,5008923,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
107,5008924,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
108,5008925,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
109,5008926,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
110,5008927,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
111,5008928,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
112,5008929,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
113,5008930,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
114,5008931,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
115,5008932,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
116,5008933,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
117,5008934,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
118,5008935,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
119,5008936,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
120,5008937,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
121,5008938,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
122,5008939,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
123,5008940,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
124,5008941,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
125,5008942,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,13,No,0
126,5008943,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,13,No,0
127,5008944,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,13,No,0
128,5008945,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,13,No,0
129,5008946,F,N,N,0,157500,Commercial associate,Higher education,Married,House / apartment,Accountants,2,37,13,No,0
130,5008947,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,42,3,No,0
131,5008948,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,42,3,No,0
132,5008949,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,42,3,No,0
133,5008950,M,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,42,3,No,0
138,5008955,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,No,0
139,5008956,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,No,0
140,5008957,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,No,0
141,5008958,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,No,0
142,5008959,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,No,0
143,5008960,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,No,0
144,5008962,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,No,0
145,5008963,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,48,4,No,0
157,5008981,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,57,6,No,0
158,5008983,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,57,6,No,0
159,5008984,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,57,6,No,0
160,5008986,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,57,6,No,0
161,5008987,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,57,6,No,0
162,5008988,M,Y,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,57,6,No,0
163,5008991,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,45,3,No,0
164,5008992,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,45,3,No,0
165,5008993,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,45,3,No,0
166,5008994,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,45,3,No,0
167,5008995,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,45,3,No,0
168,5112861,F,Y,Y,0,270000,Working,Secondary / secondary special,Separated,House / apartment,Accountants,1,45,3,No,0
169,5008998,F,Y,Y,0,270000,Working,Higher education,Married,House / apartment,Accountants,2,29,2,No,0
170,5008999,F,Y,Y,0,270000,Working,Higher education,Married,House / apartment,Accountants,2,29,2,No,0
171,5009000,M,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,27,2,No,0
172,5009001,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
173,5009002,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
174,5009005,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
175,5009006,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
176,5009007,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
177,5009008,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
178,5009009,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
179,5009010,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
180,5009012,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
181,5009014,M,N,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,51,17,No,0
190,5009027,F,Y,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,54,29,No,0
191,5112862,F,Y,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,54,29,No,0
192,5009028,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,39,7,No,0
193,5009029,F,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,39,7,No,0
194,5009031,F,N,Y,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,28,3,No,0
195,5009032,F,N,Y,0,315000,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,28,3,No,0
202,5009039,F,N,Y,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,3,39,1,No,0
203,5009040,F,N,Y,2,157500,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,3,39,1,No,0
204,5009042,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,Accountants,2,48,2,No,0
205,5009043,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,Accountants,2,48,2,No,0
206,5009044,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,Accountants,2,48,2,No,0
207,5009045,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,Accountants,2,48,2,No,0
208,5009046,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,Accountants,2,48,2,No,0
209,5009047,F,N,Y,0,148500,Working,Higher education,Married,House / apartment,Accountants,2,48,2,No,0
210,5009050,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,Accountants,4,30,6,No,0
211,5009051,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,Accountants,4,30,6,No,0
212,5009052,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,Accountants,4,30,6,No,0
213,5009053,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,Accountants,4,30,6,No,0
214,5009055,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,Accountants,4,30,6,No,0
215,5009056,M,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,24,2,No,0
216,5009057,M,N,Y,0,202500,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,24,2,No,0
217,5009058,F,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,20,2,No,0
219,5009062,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
220,5009063,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
221,5009064,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
222,5009065,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
223,5009066,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
224,5009067,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
225,5009068,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
226,5009069,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
227,5009070,M,Y,Y,0,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,28,5,No,0
228,5009071,F,Y,Y,0,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,Accountants,2,28,8,No,0
229,5009072,F,Y,Y,0,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,Accountants,2,28,8,No,0
230,5009074,F,Y,Y,1,450000,State servant,Higher education,Married,House / apartment,Accountants,3,48,1,No,0
231,5009075,F,Y,Y,1,450000,State servant,Higher education,Married,House / apartment,Accountants,3,48,1,No,0
232,5009078,M,N,Y,1,180000,Working,Secondary / secondary special,Married,With parents,Accountants,3,38,3,No,0
233,5009079,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,Accountants,2,27,8,No,0
234,5009080,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,Accountants,2,27,8,No,0
235,5009081,F,N,Y,0,112500,Working,Higher education,Civil marriage,House / apartment,Accountants,2,27,8,No,0
236,5009083,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,56,15,No,0
237,5009084,M,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,56,15,No,0
238,5009088,M,Y,N,2,202500,Commercial associate,Higher education,Married,House / apartment,Accountants,4,40,8,No,0
239,5009089,M,Y,N,2,202500,Commercial associate,Higher education,Married,House / apartment,Accountants,4,40,8,No,0
240,5009090,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,34,11,No,0
241,5009092,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,Accountants,3,33,3,No,0
242,5009094,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,Accountants,3,33,3,No,0
243,5009095,M,Y,Y,1,765000,Working,Higher education,Married,House / apartment,Accountants,3,33,3,No,0
244,5009096,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,37,12,No,0
245,5009097,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,37,12,No,0
246,5009098,F,N,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,3,37,12,No,0
247,5009099,F,N,Y,0,315000,Working,Higher education,Separated,House / apartment,Accountants,1,36,1,No,0
248,5009100,F,N,Y,0,315000,Working,Higher education,Separated,House / apartment,Accountants,1,36,1,No,0
249,5009103,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,Accountants,4,35,11,No,0
250,5009104,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,Accountants,4,35,11,No,0
251,5009105,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,Accountants,4,35,11,No,0
252,5009106,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,Accountants,4,35,11,No,0
253,5112876,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,Accountants,4,35,11,No,0
254,5009108,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,41,7,No,0
255,5009109,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,41,7,No,0
256,5009110,F,N,Y,0,112500,Commercial associate,Higher education,Married,House / apartment,Accountants,2,24,0,No,0
279,5009141,F,N,N,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,26,4,No,0
280,5009142,F,N,N,0,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,Accountants,2,26,4,No,0
283,5009145,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,Accountants,2,43,10,No,0
284,5009146,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,Accountants,2,43,10,No,0
285,5009147,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,Accountants,2,43,10,No,0
286,5009149,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,Accountants,2,43,10,No,0
287,5009150,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,Accountants,2,43,10,No,0
288,5009151,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
289,5009152,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
290,5009153,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
291,5009154,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
292,5009155,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
293,5009156,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
294,5009157,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
295,5009158,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
296,5009159,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
297,5009160,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
298,5009161,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
299,5009162,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,53,7,No,0
300,5009163,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,35,8,No,0
301,5009164,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,35,8,No,0
